Make,Model,Type,Origin,DriveTrain,Engine Size (L),Cylinders,Horsepower,MPG (Mileage),Weight (LBS),Wheelbase (IN),Length (IN)
Nissan,Murano SL,Wagon,Asia,Rear,3.5,6,245,25,3801,111,188
Oldsmobile,Alero GX 2dr,Sedan,USA,Front,2.2,4,140,32,2946,107,187
Oldsmobile,Alero GLS 2dr,Sedan,USA,Front,3.4,6,170,29,3085,107,187
Oldsmobile,Silhouette GL,Sedan,USA,Front,3.4,6,185,26,3948,120,201
Pontiac,Aztekt,SUV,USA,Front,3.4,6,185,26,3779,108,182
Pontiac,Sunfire 1SA 2dr,Sedan,USA,Front,2.2,4,140,33,2771,104,182
Pontiac,Grand Am GT 2dr,Sedan,USA,Front,3.4,6,175,29,3118,107,186
Pontiac,Grand Prix GT1 4dr,Sedan,USA,Front,3.8,6,200,30,3477,111,198
Pontiac,Sunfire 1SC 2dr,Sedan,USA,Front,2.2,4,140,33,2771,104,182
Pontiac,Grand Prix GT2 4dr,Sedan,USA,Front,3.8,6,200,30,3484,111,198
Pontiac,Bonneville GXP 4dr,Sedan,USA,Front,4.6,8,275,20,3790,112,203
Pontiac,Montana,Sedan,USA,Front,3.4,6,185,26,3803,112,187
Pontiac,Montana EWB,Sedan,USA,All,3.4,6,185,24,4431,121,201
Pontiac,GTO 2dr,Sports,USA,Rear,5.7,8,340,20,3725,110,190
Pontiac,Vibe,Wagon,USA,Rear,1.8,4,130,36,2701,102,172
Porsche,Cayenne S,SUV,Europe,All,4.5,8,340,18,4950,112,188
Porsche,911 Carrera convertible 2dr (coupe),Sports,Europe,Rear,3.6,6,315,26,3135,93,175
Porsche,911 Carrera 4S coupe 2dr (convert),Sports,Europe,All,3.6,6,315,24,3240,93,175
Porsche,911 Targa coupe 2dr,Sports,Europe,Rear,3.6,6,315,26,3119,93,175
Porsche,911 GT2 2dr,Sports,Europe,Rear,3.6,6,477,24,3131,93,175
Porsche,Boxster convertible 2dr,Sports,Europe,Rear,2.7,6,228,29,2811,95,170
Porsche,Boxster S convertible 2dr,Sports,Europe,Rear,3.2,6,258,26,2911,95,170
Saab,9-3 Arc Sport 4dr,Sedan,Europe,Front,2,4,210,28,3175,105,183
Saab,9-3 Aero 4dr,Sedan,Europe,Front,2,4,210,28,3175,105,183
Saab,9-5 Arc 4dr,Sedan,Europe,Front,2.3,4,220,29,3470,106,190
Saab,9-5 Aero 4dr,Sedan,Europe,Front,2.3,4,250,29,3470,106,190
Saab,9-3 Arc convertible 2dr,Sedan,Europe,Front,2,4,210,29,3480,105,182
Saab,9-3 Aero convertible 2dr,Sedan,Europe,Front,2,4,210,30,3700,105,182
Saab,9-5 Aero,Wagon,Europe,Front,2.3,4,250,29,3620,106,190
Saturn,VUE,SUV,USA,All,2.2,4,143,26,3381,107,181
Saturn,Ion1 4dr,Sedan,USA,Front,2.2,4,140,35,2692,103,185
Saturn,lon2 4dr,Sedan,USA,Front,2.2,4,140,35,2692,103,185
Saturn,lon3 4dr,Sedan,USA,Front,2.2,4,140,35,2692,103,185
Saturn,lon2 quad coupe 2dr,Sedan,USA,Front,2.2,4,140,35,2751,103,185
Saturn,lon3 quad coupe 2dr,Sedan,USA,Front,2.2,4,140,35,2751,103,185
Saturn,L300-2 4dr,Sedan,USA,Front,3,6,182,28,3197,107,190
Saturn,L300 2,Wagon,USA,Front,2.2,4,140,34,3109,107,190
Scion,xA 4dr hatch,Sedan,Asia,Front,1.5,4,108,38,2340,93,154
Scion,xB,Wagon,Asia,Front,1.5,4,108,35,2425,98,155
Subaru,Impreza 2.5 RS 4dr,Sedan,Asia,All,2.5,4,165,28,2965,99,174
Subaru,Legacy L 4dr,Sedan,Asia,All,2.5,4,165,28,3285,104,184
Subaru,Legacy GT 4dr,Sedan,Asia,All,2.5,4,165,28,3395,104,184
Subaru,Outback Limited Sedan 4dr,Sedan,Asia,All,2.5,4,165,27,3495,104,184
Subaru,Outback H6 4dr,Sedan,Asia,All,3,6,212,26,3610,104,184
Subaru,Outback H-6 VDC 4dr,Sedan,Asia,All,3,6,212,26,3630,104,184
Subaru,Impreza WRX 4dr,Sports,Asia,All,2,4,227,27,3085,99,174
Subaru,Impreza WRX STi 4dr,Sports,Asia,All,2.5,4,300,24,3263,100,174
Subaru,Baja,Truck,Asia,All,2.5,4,165,28,3485,104,193
Subaru,Forester X,Wagon,Asia,All,2.5,4,165,28,3090,99,175
Subaru,Outback,Wagon,Asia,All,2.5,4,165,28,3430,104,187
Suzuki,XL-7 EX,SUV,Asia,Front,2.7,6,185,22,3682,110,187
Suzuki,Vitara LX,SUV,Asia,All,2.5,6,165,22,3020,98,163
Suzuki,Aeno S 4dr,Sedan,Asia,Front,2.3,4,155,31,2676,98,171
Suzuki,Aerio LX 4dr,Sedan,Asia,Front,2.3,4,155,31,2676,98,171
Suzuki,Forenza S 4dr,Sedan,Asia,Front,2,4,119,31,2701,102,177
Suzuki,Forenza EX 4dr,Sedan,Asia,Front,2,4,119,30,2756,102,177
Suzuki,Verona LX 4dr,Sedan,Asia,Front,2.5,6,155,27,3380,106,188
Suzuki,Aerio SX,Wagon,Asia,All,2.3,4,155,29,2932,98,167
Toyota,Prius 4dr (gas/electric),Hybrid,Asia,Front,1.5,4,110,51,2890,106,175
Toyota,Sequoia SR5,SUV,Asia,All,4.7,8,240,17,5270,118,204
Toyota,4Runner SR5 V6,SUV,Asia,Front,4,6,245,21,4035,110,189
Toyota,Highlander V6,SUV,Asia,All,3.3,6,230,24,3935,107,185
Toyota,Land Cruiser,SUV,Asia,All,4.7,8,325,17,5390,112,193
Toyota,RAV4,SUV,Asia,All,2.4,4,161,27,3119,98,167
Toyota,Corolla CE 4dr,Sedan,Asia,Front,1.8,4,130,40,2502,102,178
Toyota,Corolla S 4dr,Sedan,Asia,Front,1.8,4,130,40,2524,102,178
Toyota,Corolla LE 4dr,Sedan,Asia,Front,1.8,4,130,40,2524,102,178
Toyota,Echo 2dr manual,Sedan,Asia,Front,1.5,4,108,43,2035,93,163
Toyota,Echo 2dr auto,Sedan,Asia,Front,1.5,4,108,39,2085,93,163
Toyota,Echo 4dr,Sedan,Asia,Front,1.5,4,108,43,2055,93,163
Toyota,Camry LE 4dr,Sedan,Asia,Front,2.4,4,157,33,3086,107,189
Toyota,Camry LE V6 4dr,Sedan,Asia,Front,3,6,210,29,3296,107,189
Toyota,Camry Solara SE 2dr,Sedan,Asia,Front,2.4,4,157,33,3175,107,193
Toyota,Camry Solara SE V6 2dr,Sedan,Asia,Front,3.3,6,225,29,3417,107,193
Toyota,Avalon XL 4dr,Sedan,Asia,Front,3,6,210,29,3417,107,192
Toyota,Camry XLE V6 4dr,Sedan,Asia,Front,3,6,210,29,3362,107,189
Toyota,Camry Solara SLE V6 2dr,Sedan,Asia,Front,3.3,6,225,29,3439,107,193
Toyota,Avalon XLS 4dr,Sedan,Asia,Front,3,6,210,29,3439,107,192
Toyota,Sienna CE,Sedan,Asia,Front,3.3,6,230,27,4120,119,200
Toyota,Sienna XLE Limited,Sedan,Asia,Front,3.3,6,230,27,4165,119,200
Toyota,Celica GT-S 2dr,Sports,Asia,Front,1.8,4,180,33,2500,102,171
Toyota,MR2 Spyder convertible 2dr,Sports,Asia,Rear,1.8,4,138,32,2195,97,153
Toyota,Tacoma,Truck,Asia,Rear,2.4,4,142,27,2750,103,191
Toyota,Tundra Regular Cab V6,Truck,Asia,Rear,3.4,6,190,18,3925,128,218
Toyota,Tundra Access Cab V6 SR5,Truck,Asia,All,3.4,6,190,17,4435,128,218
Toyota,Matrix XR,Wagon,Asia,Front,1.8,4,130,36,2679,102,171
Volkswagen,Touareg V6,SUV,Europe,All,3.2,6,220,20,5086,112,187
Volkswagen,Golf GLS 4dr,Sedan,Europe,Front,2,4,115,31,2897,99,165
Volkswagen,GTI 1.8T 2dr hatch,Sedan,Europe,Front,1.8,4,180,31,2934,99,168
Volkswagen,Jetta GLS TDI 4dr,Sedan,Europe,Front,1.9,4,100,46,3003,99,172
Volkswagen,New Beetle GLS 1.8T 2dr,Sedan,Europe,Front,1.8,4,150,31,2820,99,161
Volkswagen,Jetta GLI VR6 4dr,Sedan,Europe,Front,2.8,6,200,30,3179,99,172
Volkswagen,New Beetle GLS convertible 2dr,Sedan,Europe,Front,2,4,115,30,3082,99,161
Volkswagen,Passat GLS 4dr,Sedan,Europe,Front,1.8,4,170,31,3241,106,185
Volkswagen,Passat GLX V6 4MOTION 4dr,Sedan,Europe,Front,2.8,6,190,26,3721,106,185
Volkswagen,Passat W8 4MOTION 4dr,Sedan,Europe,Front,4,8,270,25,3953,106,185
Volkswagen,Phaeton 4dr,Sedan,Europe,Front,4.2,8,335,22,5194,118,204
Volkswagen,Phaeton W12 4dr,Sedan,Europe,Front,6,12,420,19,5399,118,204
Volkswagen,Jetta GL,Wagon,Europe,Front,2,4,115,30,3034,99,174
Volkswagen,Passat GLS 1.8T,Wagon,Europe,Front,1.8,4,170,31,3338,106,184
Volkswagen,Passat W8,Wagon,Europe,Front,4,8,270,25,4067,106,184
Volvo,XC90 T6,SUV,Europe,All,2.9,6,268,20,4638,113,189
Volvo,S40 4dr,Sedan,Europe,Front,1.9,4,170,29,2767,101,178
Volvo,S60 2.5 4dr,Sedan,Europe,All,2.5,5,208,27,3903,107,180
Volvo,S60 T5 4dr,Sedan,Europe,Front,2.3,5,247,28,3766,107,180
Volvo,S60 R 4dr,Sedan,Europe,All,2.5,5,300,25,3571,107,181
Volvo,S80 2.9 4dr,Sedan,Europe,Front,2.9,6,208,28,3576,110,190
Volvo,S80 2.5T 4dr,Sedan,Europe,All,2.5,5,194,27,3691,110,190
Volvo,C70 LPT convertible 2dr,Sedan,Europe,Front,2.4,5,197,28,3450,105,186
Volvo,C70 HPT convertible 2dr,Sedan,Europe,Front,2.3,5,242,26,3450,105,186
Volvo,S80 T6 4dr,Sedan,Europe,Front,2.9,6,268,26,3653,110,190
Volvo,V40,Wagon,Europe,Front,1.9,4,170,29,2822,101,180
Volvo,XC70,Wagon,Europe,All,2.5,5,208,27,3823,109,186
